"ID2009","Candidate","State","Constituency_No2009","Position2009","Sex","Party2009","Constituency_Name2009","Vote_Share_Percentage2009","Margin_Percentage2009","ReNominated","ID2014","Candidate2014","Constituency_No2014","Position2014","Party2014","Constituency_Name2014","Vote_Share_Percentage2014","Margin_Percentage2014","PostGraduate","CriminalCase","Moveable","Immoveable"
5037,"SHAKIL AHMAD KHAN","Bihar",37,2,"M","RJD","AURANGABAD",31.44,22.32,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4790933,2500000
5038,"HARI MANJHI","Bihar",38,1,"M","BJP","GAYA",43.65,11.07,1,5038,"HARI MANJHI",38,1,"BJP","GAYA (SC)",40.31,14.27,0,0,372040,1097000
5038,"RAMJI MANJHI","Bihar",38,2,"M","RJD","GAYA",32.58,21.07,1,5038,"RAMJI MANJHI",38,2,"RJD","GAYA (SC)",26.04,9.75,0,0,1218803,2500000
5039,"BHOLA SINGH","Bihar",39,1,"M","BJP","NAWADA",22.46,6,1,5039,"GIRIRAJ SINGH",39,1,"BJP","NAWADA",44.12,15.85,1,0,1979000,2700000
5040,"BHUDEO CHOUDHARY","Bihar",40,1,"M","JD(U)","JAMUI",33.36,5.57,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4354000,2350000
5040,"SHYAM RAJAK","Bihar",40,2,"M","RJD","JAMUI",27.79,14.48,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5495055,3728875
601,"PAWAN KUMAR BANSAL","Chandigarh",1,1,"M","INC","CHANDIGARH",46.87,17.16,1,601,"PAWAN KUMAR BANSAL",1,2,"INC","CHANDIGARH",26.84,2.88,1,0,8229399,6.1e+07
601,"SATYA PAL JAIN","Chandigarh",1,2,"M","BJP","CHANDIGARH",29.71,11.83,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2436695,9.3e+07
701,"MURARILAL SINGH","Chhattisgarh",1,1,"M","BJP","SARGUJA",51.73,19.81,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2495421,2322000
701,"BHANU PRATAP SINGH","Chhattisgarh",1,2,"M","INC","SARGUJA",31.92,29.34,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,192500,2317400
